tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan,Rider age,Trip length (minutes),Route name
432,9/16/2013 19:22:43,9/16/2013 19:29:55,509,9 Ave & W 22 St,40.7454973,-74.00197139,442,W 27 St & 7 Ave,40.746647,-73.993915,18447,Subscriber,1951,male,,68,7.2,9 Ave & W 22 St to W 27 St & 7 Ave
1186,12/30/2015 13:02:38,12/30/2015 13:22:25,280,E 10 St & 5 Ave,40.73331967,-73.99510132,254,W 11 St & 6 Ave,40.73532427,-73.99800419,22598,Subscriber,1945,female,,74,19.7666666666667,E 10 St & 5 Ave to W 11 St & 6 Ave
799,9/2/2017 16:27:37,9/2/2017 16:40:57,335,Washington Pl & Broadway,40.72903917,-73.99404649,540,Lexington Ave & E 29 St,40.7431155537649,-73.9821535348892,28833,Subscriber,1997,male,,22,13.3166666666667,Washington Pl & Broadway to Lexington Ave & E 29 St
238,11/15/2017 6:57:09,11/15/2017 7:01:08,146,Hudson St & Reade St,40.71625008,-74.0091059,387,Centre St & Chambers St,40.71273266,-74.0046073,21338,Subscriber,1998,female,,21,3.96666666666667,Hudson St & Reade St to Centre St & Chambers St
668,11/7/2013 15:12:07,11/7/2013 15:23:15,529,W 42 St & 8 Ave,40.7575699,-73.99098507,352,W 56 St & 6 Ave,40.76340613,-73.97722479,19888,Subscriber,1949,male,,70,11.1333333333333,W 42 St & 8 Ave to W 56 St & 6 Ave
593,8/25/2013 13:47:24,8/25/2013 13:57:17,470,W 20 St & 8 Ave,40.74345335,-74.00004031,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17859,Subscriber,1939,male,,80,9.88333333333333,W 20 St & 8 Ave to MacDougal St & Washington Sq
414,5/29/2018 16:33:26,5/29/2018 16:40:21,3158,W 63 St & Broadway,40.77163851,-73.98261428,3167,Amsterdam Ave & W 73 St,40.7796680900731,-73.9809304475784,19198,Subscriber,1952,male,,67,6.9,W 63 St & Broadway to Amsterdam Ave & W 73 St
1643,2/7/2014 20:24:02,2/7/2014 20:51:25,519,Pershing Square N,40.75188406,-73.97770164,147,Greenwich St & Warren St,40.71542197,-74.01121978,18718,Subscriber,1947,male,,72,27.3833333333333,Pershing Square N to Greenwich St & Warren St
474,10/6/2017 12:17:06,10/6/2017 12:25:00,470,W 20 St & 8 Ave,40.74345335,-74.00004031,496,E 16 St & 5 Ave,40.73726186,-73.99238967,14823,Subscriber,1996,male,,23,7.9,W 20 St & 8 Ave to E 16 St & 5 Ave
2277,9/11/2014 5:46:58,9/11/2014 6:24:55,487,E 20 St & FDR Drive,40.73314259,-73.97573881,487,E 20 St & FDR Drive,40.73314259,-73.97573881,18116,Subscriber,1946,male,,73,37.95,E 20 St & FDR Drive to E 20 St & FDR Drive
614,5/10/2018 8:02:57,5/10/2018 8:13:12,291,Madison St & Montgomery St,40.713126,-73.984844,3489,Gold St & Frankfort St,40.7106999463139,-74.003541469574,31363,Subscriber,1943,female,,76,10.2333333333333,Madison St & Montgomery St to Gold St & Frankfort St
1122,8/16/2017 7:40:27,8/16/2017 7:59:10,3260,Mercer St & Bleecker St,40.7270636334831,-73.9966213703155,518,E 39 St & 2 Ave,40.74780373,-73.9734419,27590,Subscriber,1947,male,,72,18.7,Mercer St & Bleecker St to E 39 St & 2 Ave
838,11/3/2014 14:25:11,11/3/2014 14:39:09,457,Broadway & W 58 St,40.76695317,-73.98169333,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,20228,Subscriber,1936,male,,83,13.9666666666667,Broadway & W 58 St to E 43 St & Vanderbilt Ave
318,9/22/2017 6:44:27,9/22/2017 6:49:45,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,458,11 Ave & W 27 St,40.751396,-74.005226,15929,Subscriber,1997,male,,22,5.3,8 Ave & W 31 St to 11 Ave & W 27 St
849,3/31/2018 14:11:48,3/31/2018 14:25:58,3137,5 Ave & E 73 St,40.77282817,-73.96685276,3292,5 Ave & E 93 St,40.7857851,-73.957481,32436,Customer,1996,male,,23,14.15,5 Ave & E 73 St to 5 Ave & E 93 St
504,10/30/2017 14:42:18,10/30/2017 14:50:42,3233,E 48 St & 5 Ave,40.7572456791173,-73.978059142828,454,E 51 St & 1 Ave,40.75455731,-73.96592976,17682,Subscriber,1948,male,,71,8.4,E 48 St & 5 Ave to E 51 St & 1 Ave
1231,11/21/2013 12:05:55,11/21/2013 12:26:26,442,W 27 St & 7 Ave,40.746647,-73.993915,2004,6 Ave & Broome St,40.724399,-74.004704,17293,Subscriber,1949,male,,70,20.5166666666667,W 27 St & 7 Ave to 6 Ave & Broome St
337,6/22/2017 10:03:45,6/22/2017 10:09:22,3297,6 St & 7 Ave,40.6686627,-73.97988067,3416,7 Ave & Park Pl,40.6776147,-73.97324283,18221,Subscriber,1999,male,,20,5.61666666666667,6 St & 7 Ave to 7 Ave & Park Pl
496,5/4/2016 5:52:47,5/4/2016 6:01:04,477,W 41 St & 8 Ave,40.75640548,-73.9900262,469,Broadway & W 53 St,40.76344058,-73.98268129,18731,Subscriber,1941,male,,78,8.26666666666667,W 41 St & 8 Ave to Broadway & W 53 St
818,9/9/2014 20:00:46,9/9/2014 20:14:24,307,Canal St & Rutgers St,40.71427487,-73.98990025,307,Canal St & Rutgers St,40.71427487,-73.98990025,18020,Subscriber,1950,male,,69,13.6333333333333,Canal St & Rutgers St to Canal St & Rutgers St
696,9/29/2016 18:17:16,9/29/2016 18:28:52,247,Perry St & Bleecker St,40.73535398,-74.00483091,494,W 26 St & 8 Ave,40.74734825,-73.99723551,26450,Subscriber,1952,male,,67,11.6,Perry St & Bleecker St to W 26 St & 8 Ave
1078,12/9/2017 9:55:27,12/9/2017 10:13:25,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,33235,Subscriber,1950,male,,69,17.9666666666667,Lawrence St & Willoughby St to Carlton Ave & Flushing Ave
133,12/11/2017 16:54:19,12/11/2017 16:56:33,164,E 47 St & 2 Ave,40.75323098,-73.97032517,440,E 45 St & 3 Ave,40.75255434,-73.97282625,32092,Subscriber,1951,male,,68,2.21666666666667,E 47 St & 2 Ave to E 45 St & 3 Ave
600,10/6/2017 15:01:01,10/6/2017 15:11:02,3158,W 63 St & Broadway,40.77163851,-73.98261428,3134,3 Ave & E 62 St,40.76312584,-73.96526895,31116,Subscriber,1950,female,,69,10,W 63 St & Broadway to 3 Ave & E 62 St
389,12/20/2013 6:26:51,12/20/2013 6:33:20,391,Clark St & Henry St,40.69760127,-73.99344559,278,Concord St & Bridge St,40.69766564,-73.98476437,16500,Subscriber,1951,female,,68,6.48333333333333,Clark St & Henry St to Concord St & Bridge St
543,6/22/2015 19:15:00,6/22/2015 19:24:00,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,478,11 Ave & W 41 St,40.76030096,-73.99884222,20797,Subscriber,1997,male,,22,9.05,E 43 St & Vanderbilt Ave to 11 Ave & W 41 St
397,6/30/2017 17:30:50,6/30/2017 17:37:28,3462,E 44 St & 2 Ave,40.7511838746328,-73.9713871479034,3235,E 41 St & Madison Ave,40.752165280622,-73.9799219369888,15207,Subscriber,1996,female,,23,6.61666666666667,E 44 St & 2 Ave to E 41 St & Madison Ave
1708,7/5/2016 14:13:35,7/5/2016 14:42:03,263,Elizabeth St & Hester St,40.7175908180598,-73.9962244033814,509,9 Ave & W 22 St,40.7454973,-74.00197139,25746,Subscriber,1996,male,,23,28.4666666666667,Elizabeth St & Hester St to 9 Ave & W 22 St
768,4/8/2017 12:35:47,4/8/2017 12:48:36,276,Duane St & Greenwich St,40.71748752,-74.0104554,257,Lispenard St & Broadway,40.71939226,-74.00247214,26519,Subscriber,1948,female,,71,12.8,Duane St & Greenwich St to Lispenard St & Broadway
1030,9/25/2015 22:52:11,9/25/2015 23:09:21,439,E 4 St & 2 Ave,40.7262807,-73.98978041,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,14587,Subscriber,1950,male,,69,17.1666666666667,E 4 St & 2 Ave to Washington Pl & 6 Ave
